,'F','LF','LR','LR1','LT','LT1','T','T1','assignment','conditional_statement','declaration','declaration_list','expression','expression1','loop','operator','operators_list','operators_list1','program','relation','relation_sign','user_input','user_output','variable_type','variables_list',(,),*,+,",",-,/,:,;,<,<<,<=,=,==,>,>=,>>,CON,IDN,LAB,[,],and,begin,by,cin,cout,do,end,fi,float,for,goto,if,int,not,or,rof,then,to,!=
'F',,,,,,,,,,,,,,,,,,,,,>,,,,,,>,>,>,,>,>,,>,>,,>,,>,>,>,,,,,,>,>,,>,,,>,,,,,,,,,>,,>,>,>
'LF',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,>,,,,,,,,,,,,,,>,,>,,
'LR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,,,,,,,,,,,,,,,=,,>,,
'LR1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,,,,,,,,,,,,,,,,,=,,
'LT',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,=,,,,,,,,,,,,,,>,,>,,
'LT1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,,,,,,,,,,,,,,,>,,>,,
'T',,,,,,,,,,,,,,,,,,,,,>,,,,,,>,=,>,,>,=,,>,>,,>,,>,>,>,,,,,,>,>,,>,,,>,,,,,,,,,>,,>,>,>
'T1',,,,,,,,,,,,,,,,,,,,,>,,,,,,>,,>,,>,,,>,>,,>,,>,>,>,,,,,,>,>,,>,,,>,,,,,,,,,>,,>,>,>
'assignment',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'conditional_statement',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'declaration',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'declaration_list',,,,,,,,,,,=,,,,,,,,,,,,,<,,,,,,,,,,,,,,,,,,,,,,,,,=,,,,,,,<,,,,<,,,,,,
'expression',,,,,,,,,,,,,,,,,,,,,>,,,,,,>,,=,,=,,,>,>,,>,,>,>,>,,,,,,>,>,,>,,,>,,,,,,,,,>,,>,>,>
'expression1',,,,,,,,,,,,,,,,,,,,,=,,,,,,=,,,,,,,>,<,,<,,<,<,<,,,,,,>,>,,=,,,=,,,,,,,,,>,,>,=,<
'loop',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'operator',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'operators_list',,,,,,,,,<,<,,,,,<,=,,,,,,<,<,,,,,,,,,,,,,,,,,,,,,<,=,,,,,,<,<,,>,>,,<,<,<,,,,>,,,
'operators_list1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,=,,,,,,,,=,,,
'program',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'relation',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,>,,,,,,,,,,,,,,>,,>,,
'relation_sign',<,,,,,,<,<,,,,,<,=,,,,,,,,,,,,<,,,,,<,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,,,,,
'user_input',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,,,,,,,,=,,,,,,,,,,,,,,,,,,,,,,,,
'user_output',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'variable_type',,,,,,,,,,,,,,,,,,,,,,,,,=,,,,,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,,,,,,,,,
'variables_list',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,<,,,,,,<,<,,,,,<,=,,,,,,,,,,,,<,,,,,<,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,,,,,
),,,,,,,,,,,,,,,,,,,,,>,,,,,,>,>,>,,>,>,,>,>,,>,,>,>,>,,,,,,>,>,,>,,,>,,,,,,,,,>,,>,>,>
*,=,,,,,,,,,,,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,,,,,
+,<,,,,,,<,=,,,,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,,,,,,,,,,,,=,,,,,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,,,,,,,,,
-,<,,,,,,<,=,,,,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,,,,,
/,=,,,,,,,,,,,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,,,,,
:,,,,,,,,,>,>,,,,,>,>,,,,,,>,>,,,,,,,,,,,,,,,,,,,,,>,>,,,,,,>,>,,>,>,,>,>,>,,,,>,,,
;,,,,,,,,,>,>,>,,,,>,>,,,,,,>,>,>,,,,,,,,,,,,,,,,,,,,>,>,,,,>,,>,>,,>,>,>,>,>,>,>,,,>,,,
<,>,,,,,,>,>,,,,,>,>,,,,,,,,,,,,>,,,,,>,,,,,,,,,,,,>,>,,,,,,,,,,,,,,,,,,,,,,
<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,,,,,,,,,,,,,,,,,,,,,,
<=,>,,,,,,>,>,,,,,>,>,,,,,,,,,,,,>,,,,,>,,,,,,,,,,,,>,>,,,,,,,,,,,,,,,,,,,,,,
=,<,,,,,,<,<,,,,,<,=,,,,,,,,,,,,<,,,,,<,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,,,,,
==,>,,,,,,>,>,,,,,>,>,,,,,,,,,,,,>,,,,,>,,,,,,,,,,,,>,>,,,,,,,,,,,,,,,,,,,,,,
>,>,,,,,,>,>,,,,,>,>,,,,,,,,,,,,>,,,,,>,,,,,,,,,,,,>,>,,,,,,,,,,,,,,,,,,,,,,
>=,>,,,,,,>,>,,,,,>,>,,,,,,,,,,,,>,,,,,>,,,,,,,,,,,,>,>,,,,,,,,,,,,,,,,,,,,,,
>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,,,,,,,,,,,,,,,,,,,,,,
CON,,,,,,,,,,,,,,,,,,,,,>,,,,,,>,>,>,,>,>,,>,>,,>,,>,>,>,,,,,,>,>,,>,,,>,,,,,,,,,>,,>,>,>
IDN,,,,,,,,,,,,,,,,,,,,,>,,,,,,>,>,>,=,>,>,,>,>,>,>,=,>,>,>,>,,,,,>,>,,>,,,>,,,,,,,,,>,,>,>,>
LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[,<,<,<,=,<,<,<,<,,,,,<,<,,,,,,<,,,,,,<,,,,,<,,,,,,,,,,,,<,<,,<,,,,,,,,,,,,,,,<,,,,,
],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,>,,,,,,,,,,,,,,>,,>,,
and,<,=,,,,,<,<,,,,,<,<,,,,,,<,,,,,,<,,,,,<,,,,,,,,,,,,<,<,,<,,,,,,,,,,,,,,,<,,,,,
begin,,,,,,,,,<,<,,,,,<,<,<,=,,,,<,<,,,,,,,,,,,,,,,,,,,,,<,<,,,,,,<,<,,,,,<,<,<,,,,,,,
by,<,,,,,,<,<,,,,,<,=,,,,,,,,,,,,<,,,,,<,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,,,,,
cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,,,,,,,,,,,,,,,,,,,,,,,,
cout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do,,,,,,,,,<,<,,,,,<,<,<,=,,,,<,<,,,,,,,,,,,,,,,,,,,,,<,<,,,,,,<,<,,,,,<,<,<,,,,,,,
end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float,,,,,,,,,,,,,,,,,,,,,,,,,>,,,,,,,,,,,,,,,,,,,>,,,,,,,,,,,,,,,,,,,,,,
for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,,,,,,,,,,,,,,,,,,,,,,
goto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,,,,,,,,,,,,,,,,,,,,,
if,<,<,<,=,<,<,<,<,,,,,<,<,,,,,,<,,,,,,<,,,,,<,,,,,,,,,,,,<,<,,<,,,,,,,,,,,,,,,<,,,,,
int,,,,,,,,,,,,,,,,,,,,,,,,,>,,,,,,,,,,,,,,,,,,,>,,,,,,,,,,,,,,,,,,,,,,
not,<,=,,,,,<,<,,,,,<,<,,,,,,<,,,,,,<,,,,,<,,,,,,,,,,,,<,<,,<,,,,,,,,,,,,,,,<,,,,,
or,<,<,,,<,=,<,<,,,,,<,<,,,,,,<,,,,,,<,,,,,<,,,,,,,,,,,,<,<,,<,,,,,,,,,,,,,,,<,,,,,
rof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
then,,,,,,,,,<,<,,,,,<,<,<,=,,,,<,<,,,,,,,,,,,,,,,,,,,,,<,<,,,,,,<,<,,,,,<,<,<,,,,,,,
to,<,,,,,,<,<,,,,,<,=,,,,,,,,,,,,<,,,,,<,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,,,,,
!=,>,,,,,,>,>,,,,,>,>,,,,,,,,,,,,>,,,,,>,,,,,,,,,,,,>,>,,,,,,,,,,,,,,,,,,,,,,
